open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1708308000,52092.06,52210.48,52092.06,52148.6,851.79074,1708311599,44415214.8341036,43063,390.4631,20360329.3459724,0
1708311600,52148.6,52167.35,51977.12,52063.81,752.37547,1708315199,39166310.0674385,41954,355.45163,18505283.2499159,0
1708315200,52063.8,52221.1,52020.61,52097.39,952.14245,1708318799,49619945.2288165,45281,494.791,25783785.4276251,0
1708318800,52097.38,52156.0,51989.21,52130.42,725.01109,1708322399,37741349.0655217,44536,380.39842,19802036.3600691,0
1708322400,52130.43,52471.79,52130.42,52387.53,1697.7512,1708325999,88877141.4164572,101577,941.52177,49285026.8153306,0
1708326000,52387.53,52488.77,52297.4,52394.04,1059.83048,1708329599,55545862.8053107,55018,550.71064,28863007.9344875,0
1708329600,52394.04,52410.73,52063.52,52098.5,1163.91356,1708333199,60792964.0832891,60849,589.56545,30790029.661057,0
1708333200,52098.5,52365.26,52098.49,52262.99,1214.97997,1708336799,63512717.7213858,55962,638.32435,33364016.3541516,0
1708336800,52262.98,52450.0,52163.14,52350.01,1368.4987,1708340399,71603201.0674251,60249,723.83678,37869400.4591384,0
1708340400,52350.01,52423.77,52284.92,52336.22,922.83197,1708343999,48319094.55873,47763,421.66293,22077258.8176085,0
1708344000,52336.22,52454.11,52232.0,52271.09,1276.18628,1708347599,66786240.034586,60153,725.85014,37983504.7010895,0
1708347600,52271.09,52372.55,52117.4,52150.17,1536.68715,1708351199,80279280.9674406,79705,802.02276,41901044.4127794,0
1708351200,52150.18,52202.68,52027.0,52100.0,1509.43734,1708354799,78663520.6960953,71772,753.58248,39274350.6352699,0
1708354800,52100.0,52346.05,52028.93,52127.99,1349.87979,1708358399,70426683.5853042,76037,719.36479,37529220.9003663,0
1708358400,52127.99,52230.0,51677.0,51775.76,2178.19956,1708361999,113299377.8426569,112957,1012.65701,52695391.5101663,0
1708362000,51775.76,52210.0,51688.69,52151.73,1971.50334,1708365599,102462211.680687,131063,1162.33946,60405112.2800103,0
