lastUpdateId,bids,asks
45167483273,"['69311.98000000', '5.88346000']","['69311.99000000', '3.24823000']"
45167483273,"['69311.95000000', '0.04020000']","['69312.00000000', '0.08739000']"
45167483273,"['69311.94000000', '0.02250000']","['69312.12000000', '0.00009000']"
45167483273,"['69311.92000000', '0.02250000']","['69312.37000000', '0.00220000']"
45167483273,"['69311.81000000', '0.10000000']","['69312.54000000', '0.00009000']"
45167483273,"['69311.75000000', '0.14422000']","['69312.80000000', '0.12581000']"
45167483273,"['69311.69000000', '0.25112000']","['69312.96000000', '0.00009000']"
45167483273,"['69311.28000000', '0.00009000']","['69313.38000000', '0.00009000']"
45167483273,"['69310.86000000', '0.00009000']","['69313.80000000', '0.00009000']"
45167483273,"['69310.44000000', '0.00009000']","['69314.00000000', '0.07370000']"
45167483273,"['69310.34000000', '0.06000000']","['69314.22000000', '0.00009000']"
45167483273,"['69310.14000000', '0.05047000']","['69314.64000000', '0.00009000']"
45167483273,"['69310.13000000', '0.06382000']","['69315.06000000', '0.00009000']"
45167483273,"['69310.11000000', '0.10000000']","['69315.15000000', '0.00144000']"
45167483273,"['69310.09000000', '0.07580000']","['69315.48000000', '0.00009000']"
45167483273,"['69310.02000000', '0.00009000']","['69315.60000000', '0.00087000']"
45167483273,"['69310.00000000', '0.07370000']","['69315.90000000', '0.00009000']"
45167483273,"['69309.99000000', '0.10637000']","['69316.32000000', '0.00009000']"
45167483273,"['69309.60000000', '0.00009000']","['69316.53000000', '0.00144000']"
45167483273,"['69309.18000000', '0.00009000']","['69316.74000000', '0.00009000']"
45167483273,"['69309.02000000', '0.14402000']","['69317.16000000', '0.00009000']"
45167483273,"['69309.01000000', '0.07260000']","['69317.58000000', '0.00009000']"
45167483273,"['69308.76000000', '0.00009000']","['69317.65000000', '0.00014000']"
45167483273,"['69308.72000000', '0.01920000']","['69317.88000000', '0.28738000']"
45167483273,"['69308.66000000', '0.24000000']","['69317.92000000', '0.00144000']"
45167483273,"['69308.34000000', '0.00009000']","['69318.00000000', '0.00009000']"
45167483273,"['69308.00000000', '0.07370000']","['69318.23000000', '0.00015000']"
45167483273,"['69307.92000000', '0.00009000']","['69318.42000000', '0.00009000']"
45167483273,"['69307.50000000', '0.00009000']","['69318.84000000', '0.00009000']"
45167483273,"['69307.26000000', '0.00008000']","['69318.87000000', '0.22356000']"
45167483273,"['69307.08000000', '0.00009000']","['69319.06000000', '0.19954000']"
45167483273,"['69306.89000000', '0.24645000']","['69319.26000000', '0.00009000']"
45167483273,"['69306.84000000', '0.00144000']","['69319.30000000', '0.00144000']"
45167483273,"['69306.66000000', '0.00009000']","['69319.47000000', '0.00020000']"
45167483273,"['69306.24000000', '0.00009000']","['69319.68000000', '0.00009000']"
45167483273,"['69306.00000000', '0.07370000']","['69319.75000000', '0.20715000']"
45167483273,"['69305.82000000', '0.00009000']","['69319.90000000', '0.00072000']"
45167483273,"['69305.60000000', '0.00144000']","['69320.00000000', '0.08971000']"
45167483273,"['69305.45000000', '0.00144000']","['69320.10000000', '0.00009000']"
45167483273,"['69305.40000000', '0.00009000']","['69320.26000000', '0.22356000']"
45167483273,"['69305.39000000', '0.59990000']","['69320.31000000', '0.14420000']"
45167483273,"['69305.05000000', '0.99974000']","['69320.38000000', '0.00071000']"
45167483273,"['69305.00000000', '0.09871000']","['69320.51000000', '0.41136000']"
45167483273,"['69304.98000000', '0.00009000']","['69320.52000000', '0.00009000']"
45167483273,"['69304.64000000', '0.28848000']","['69320.65000000', '0.05768000']"
45167483273,"['69304.56000000', '0.00009000']","['69320.69000000', '0.00144000']"
45167483273,"['69304.55000000', '0.04000000']","['69320.77000000', '0.14420000']"
45167483273,"['69304.14000000', '0.00009000']","['69320.90000000', '0.00115000']"
45167483273,"['69304.07000000', '0.00144000']","['69320.94000000', '0.00009000']"
45167483273,"['69304.00000000', '0.07370000']","['69321.20000000', '0.00036000']"
45167483273,"['69303.80000000', '0.00023000']","['69321.36000000', '0.00027000']"
45167483273,"['69303.72000000', '0.00009000']","['69321.78000000', '0.00009000']"
45167483273,"['69303.30000000', '0.00009000']","['69322.08000000', '0.00144000']"
45167483273,"['69303.04000000', '0.28849000']","['69322.20000000', '0.00009000']"
45167483273,"['69302.88000000', '0.00009000']","['69322.33000000', '0.00035000']"
45167483273,"['69302.68000000', '0.00144000']","['69322.57000000', '0.18921000']"
45167483273,"['69302.46000000', '0.00009000']","['69322.62000000', '0.00009000']"
45167483273,"['69302.04000000', '0.00009000']","['69322.76000000', '0.00072000']"
45167483273,"['69301.80000000', '0.00229000']","['69323.04000000', '0.00009000']"
45167483273,"['69301.62000000', '0.00009000']","['69323.40000000', '0.36084000']"
45167483273,"['69301.29000000', '0.00144000']","['69323.45000000', '0.00253000']"
45167483273,"['69301.20000000', '0.00009000']","['69323.46000000', '0.00153000']"
45167483273,"['69300.78000000', '0.00009000']","['69323.52000000', '0.60000000']"
45167483273,"['69300.36000000', '0.00009000']","['69323.86000000', '0.00721000']"
45167483273,"['69300.34000000', '0.00008000']","['69323.88000000', '0.00009000']"
45167483273,"['69300.00000000', '0.13141000']","['69324.02000000', '0.42688000']"
45167483273,"['69299.94000000', '0.00009000']","['69324.30000000', '0.00009000']"
45167483273,"['69299.91000000', '0.00144000']","['69324.56000000', '0.00008000']"
45167483273,"['69299.75000000', '0.22356000']","['69324.57000000', '0.00013000']"
45167483273,"['69299.74000000', '0.19235000']","['69324.72000000', '0.00009000']"
45167483273,"['69299.52000000', '0.00009000']","['69324.85000000', '0.00144000']"
45167483273,"['69299.51000000', '0.12993000']","['69325.14000000', '0.00009000']"
45167483273,"['69299.24000000', '0.43305000']","['69325.15000000', '0.00072000']"
45167483273,"['69299.23000000', '0.72168000']","['69325.20000000', '0.00144000']"
45167483273,"['69299.18000000', '0.72168000']","['69325.56000000', '0.00009000']"
45167483273,"['69299.10000000', '0.00009000']","['69325.63000000', '0.01902000']"
45167483273,"['69299.04000000', '0.42378000']","['69325.84000000', '0.01626000']"
45167483273,"['69298.92000000', '0.19825000']","['69325.98000000', '0.10189000']"
45167483273,"['69298.86000000', '0.00014000']","['69326.04000000', '0.25530000']"
45167483273,"['69298.68000000', '0.00009000']","['69326.10000000', '1.58770000']"
45167483273,"['69298.52000000', '0.00144000']","['69326.40000000', '0.00009000']"
45167483273,"['69298.50000000', '0.37047000']","['69326.47000000', '0.43301000']"
45167483273,"['69298.49000000', '0.00144000']","['69326.82000000', '0.00009000']"
45167483273,"['69298.37000000', '0.22356000']","['69327.24000000', '0.00009000']"
45167483273,"['69298.26000000', '0.00009000']","['69327.36000000', '0.10594000']"
45167483273,"['69298.12000000', '0.35000000']","['69327.66000000', '0.00009000']"
45167483273,"['69298.00000000', '0.07370000']","['69328.02000000', '0.00008000']"
45167483273,"['69297.84000000', '0.00009000']","['69328.08000000', '0.00009000']"
45167483273,"['69297.63000000', '0.28851000']","['69328.50000000', '0.00009000']"
45167483273,"['69297.42000000', '0.00009000']","['69328.86000000', '0.00015000']"
45167483273,"['69297.35000000', '0.05796000']","['69328.92000000', '0.00009000']"
45167483273,"['69297.34000000', '0.01912000']","['69328.99000000', '0.00072000']"
45167483273,"['69297.14000000', '0.00144000']","['69329.34000000', '0.00009000']"
45167483273,"['69297.00000000', '0.00009000']","['69329.39000000', '0.07500000']"
45167483273,"['69296.88000000', '0.28926000']","['69329.42000000', '0.47992000']"
45167483273,"['69296.58000000', '0.00009000']","['69329.50000000', '0.00087000']"
45167483273,"['69296.51000000', '0.04038000']","['69329.76000000', '0.00009000']"
45167483273,"['69296.16000000', '0.00009000']","['69330.00000000', '0.08920000']"
45167483273,"['69296.00000000', '0.07370000']","['69330.01000000', '0.08000000']"
45167483273,"['69295.75000000', '0.00144000']","['69330.18000000', '0.00009000']"
45167483273,"['69295.74000000', '0.00009000']","['69330.26000000', '0.86602000']"
45167483273,"['69295.32000000', '0.00009000']","['69330.60000000', '0.00269000']"
45167483273,"['69294.90000000', '0.00009000']","['69330.73000000', '0.41136000']"
45167483273,"['69294.80000000', '0.10180000']","['69331.02000000', '0.41145000']"
45167483273,"['69294.48000000', '0.00009000']","['69331.07000000', '0.05800000']"
45167483273,"['69294.36000000', '0.00144000']","['69331.44000000', '0.00009000']"
45167483273,"['69294.15000000', '0.00721000']","['69331.48000000', '0.00008000']"
45167483273,"['69294.06000000', '0.00009000']","['69331.49000000', '0.00019000']"
45167483273,"['69294.01000000', '0.17323000']","['69331.59000000', '0.00721000']"
45167483273,"['69294.00000000', '0.07370000']","['69331.86000000', '0.00009000']"
45167483273,"['69293.64000000', '0.00009000']","['69331.96000000', '0.00721000']"
45167483273,"['69293.42000000', '0.00008000']","['69332.28000000', '0.00009000']"
45167483273,"['69293.22000000', '0.00009000']","['69332.56000000', '0.03936000']"
45167483273,"['69293.09000000', '0.00071000']","['69332.70000000', '0.00009000']"
45167483273,"['69292.98000000', '0.00144000']","['69332.83000000', '0.00276000']"
45167483273,"['69292.80000000', '0.28858000']","['69332.89000000', '0.00014000']"
45167483273,"['69292.42000000', '0.51962000']","['69332.91000000', '0.72168000']"
45167483273,"['69292.41000000', '0.86602000']","['69333.06000000', '0.00515000']"
45167483273,"['69292.38000000', '0.00009000']","['69333.07000000', '0.14390000']"
45167483273,"['69292.37000000', '0.42378000']","['69333.12000000', '0.00009000']"
45167483273,"['69292.22000000', '0.36084000']","['69333.25000000', '0.00011000']"
45167483273,"['69292.01000000', '0.18835000']","['69333.54000000', '0.00009000']"
45167483273,"['69292.00000000', '0.07370000']","['69333.75000000', '0.62300000']"
45167483273,"['69291.96000000', '0.00009000']","['69333.76000000', '0.11359000']"
45167483273,"['69291.75000000', '0.07063000']","['69333.78000000', '0.10180000']"
45167483273,"['69291.74000000', '0.00020000']","['69333.81000000', '0.02825000']"
45167483273,"['69291.59000000', '0.00144000']","['69333.96000000', '0.00009000']"
45167483273,"['69291.54000000', '0.00009000']","['69334.38000000', '0.00081000']"
45167483273,"['69291.30000000', '0.02825000']","['69334.80000000', '0.00009000']"
45167483273,"['69291.12000000', '0.00009000']","['69334.92000000', '0.00014000']"
45167483273,"['69291.10000000', '0.28854000']","['69334.94000000', '0.00008000']"
45167483273,"['69291.05000000', '0.00721000']","['69335.22000000', '0.00009000']"
45167483273,"['69290.99000000', '0.43301000']","['69335.32000000', '0.00289000']"
45167483273,"['69290.70000000', '0.00009000']","['69335.55000000', '0.00008000']"
45167483273,"['69290.28000000', '0.00009000']","['69335.64000000', '0.00009000']"
45167483273,"['69290.21000000', '0.00144000']","['69335.88000000', '0.09790000']"
45167483273,"['69290.00000000', '0.13503000']","['69336.06000000', '0.00009000']"
45167483273,"['69289.99000000', '0.12993000']","['69336.18000000', '0.00100000']"
45167483273,"['69289.96000000', '0.00024000']","['69336.36000000', '0.03604000']"
45167483273,"['69289.86000000', '0.00009000']","['69336.48000000', '0.00009000']"
45167483273,"['69289.44000000', '0.00009000']","['69336.90000000', '0.00009000']"
45167483273,"['69289.02000000', '0.00009000']","['69336.96000000', '0.00016000']"
45167483273,"['69288.82000000', '0.00144000']","['69337.12000000', '0.41136000']"
45167483273,"['69288.60000000', '0.00009000']","['69337.30000000', '0.00245000']"
45167483273,"['69288.48000000', '0.00072000']","['69337.32000000', '0.00009000']"
45167483273,"['69288.18000000', '0.00009000']","['69337.74000000', '0.00009000']"
45167483273,"['69288.09000000', '0.37386000']","['69337.78000000', '0.00721000']"
45167483273,"['69288.08000000', '0.62300000']","['69338.00000000', '0.00036000']"
45167483273,"['69288.03000000', '0.14427000']","['69338.16000000', '0.00009000']"
45167483273,"['69287.76000000', '0.00009000']","['69338.33000000', '0.14427000']"
45167483273,"['69287.73000000', '0.01000000']","['69338.40000000', '0.00008000']"
45167483273,"['69287.67000000', '0.00721000']","['69338.41000000', '0.00031000']"
45167483273,"['69287.44000000', '0.00144000']","['69338.45000000', '0.00100000']"
45167483273,"['69287.34000000', '0.00009000']","['69338.53000000', '0.28834000']"
45167483273,"['69287.01000000', '0.10180000']","['69338.58000000', '0.00009000']"
45167483273,"['69286.92000000', '0.00009000']","['69338.69000000', '0.00721000']"
45167483273,"['69286.50000000', '0.28922000']","['69338.71000000', '0.00363000']"
45167483273,"['69286.34000000', '0.00015000']","['69339.00000000', '0.36093000']"
45167483273,"['69286.08000000', '0.00009000']","['69339.10000000', '1.58770000']"
45167483273,"['69286.05000000', '0.00144000']","['69339.41000000', '0.00579000']"
45167483273,"['69285.66000000', '0.00009000']","['69339.42000000', '0.00009000']"
45167483273,"['69285.60000000', '0.00087000']","['69339.49000000', '0.00015000']"
45167483273,"['69285.33000000', '0.00022000']","['69339.66000000', '0.28851000']"
45167483273,"['69285.29000000', '0.00412000']","['69339.71000000', '0.01000000']"
45167483273,"['69285.24000000', '0.00009000']","['69339.84000000', '0.00009000']"
45167483273,"['69284.89000000', '0.25434000']","['69339.89000000', '0.04873000']"
45167483273,"['69284.88000000', '0.42378000']","['69340.00000000', '0.08919000']"
45167483273,"['69284.82000000', '0.00009000']","['69340.25000000', '0.00072000']"
45167483273,"['69284.80000000', '0.12993000']","['69340.26000000', '0.00009000']"
45167483273,"['69284.66000000', '0.00144000']","['69340.30000000', '0.28833000']"
45167483273,"['69284.40000000', '0.00009000']","['69340.68000000', '0.00009000']"
45167483273,"['69284.27000000', '0.28856000']","['69340.90000000', '0.00115000']"
45167483273,"['69284.24000000', '0.00064000']","['69340.95000000', '0.04000000']"
45167483273,"['69284.18000000', '0.00577000']","['69341.10000000', '0.00009000']"
45167483273,"['69283.98000000', '0.00009000']","['69341.52000000', '0.52981000']"
45167483273,"['69283.56000000', '0.00009000']","['69341.58000000', '0.10180000']"
45167483273,"['69283.28000000', '0.00144000']","['69341.68000000', '0.21349000']"
45167483273,"['69283.14000000', '0.00009000']","['69341.76000000', '0.72168000']"
45167483273,"['69283.04000000', '0.00025000']","['69341.86000000', '0.00008000']"
45167483273,"['69282.72000000', '0.00009000']","['69341.94000000', '0.00009000']"
45167483273,"['69282.65000000', '0.00100000']","['69342.36000000', '0.00009000']"
45167483273,"['69282.64000000', '0.05042000']","['69342.67000000', '0.48785000']"
45167483273,"['69282.50000000', '0.28857000']","['69342.78000000', '0.00009000']"
45167483273,"['69282.30000000', '0.00009000']","['69343.20000000', '3.25403000']"
45167483273,"['69281.89000000', '0.00144000']","['69343.52000000', '0.00105000']"
45167483273,"['69281.88000000', '0.00009000']","['69343.57000000', '0.01149000']"
45167483273,"['69281.76000000', '0.05993000']","['69343.79000000', '0.14495000']"
45167483273,"['69281.46000000', '0.00009000']","['69343.80000000', '0.28842000']"
45167483273,"['69281.34000000', '0.00100000']","['69343.89000000', '0.00950000']"
45167483273,"['69281.04000000', '0.00009000']","['69343.99000000', '0.00555000']"
45167483273,"['69280.90000000', '0.00115000']","['69344.02000000', '0.00555000']"
45167483273,"['69280.62000000', '0.00009000']","['69344.03000000', '0.01286000']"
45167483273,"['69280.51000000', '0.00144000']","['69344.06000000', '0.00950000']"
45167483273,"['69280.48000000', '0.06110000']","['69344.30000000', '0.28857000']"
45167483273,"['69280.47000000', '0.04214000']","['69344.41000000', '0.00309000']"
45167483273,"['69280.20000000', '0.00009000']","['69344.59000000', '0.28831000']"
45167483273,"['69280.09000000', '0.00023000']","['69344.63000000', '0.00380000']"
45167483273,"['69280.00000000', '0.05773000']","['69344.97000000', '0.00855000']"
45167483273,"['69279.89000000', '0.00074000']","['69345.02000000', '0.00609000']"
45167483273,"['69279.58000000', '0.00008000']","['69345.32000000', '0.02301000']"
45167483273,"['69279.21000000', '0.10180000']","['69345.33000000', '0.00014000']"
45167483273,"['69277.90000000', '0.00216000']","['69345.58000000', '0.28831000']"
45167483273,"['69277.89000000', '0.00906000']","['69345.60000000', '0.00804000']"
45167483273,"['69277.22000000', '0.00011000']","['69345.61000000', '0.00963000']"
45167483273,"['69277.19000000', '0.00721000']","['69345.67000000', '0.68546000']"
45167483273,"['69277.16000000', '0.02800000']","['69345.75000000', '0.17300000']"
45167483273,"['69277.14000000', '0.21655000']","['69346.01000000', '0.00072000']"
45167483273,"['69277.13000000', '0.02825000']","['69346.09000000', '0.00121000']"
45167483273,"['69276.95000000', '0.00014000']","['69346.14000000', '0.00447000']"
45167483273,"['69276.66000000', '0.00029000']","['69346.33000000', '0.00245000']"
45167483273,"['69276.64000000', '0.36084000']","['69346.35000000', '0.28436000']"
45167483273,"['69276.45000000', '0.00322000']","['69346.39000000', '0.00030000']"
45167483273,"['69276.12000000', '0.28928000']","['69346.46000000', '0.00030000']"
45167483273,"['69275.71000000', '0.00015000']","['69346.53000000', '0.00030000']"
45167483273,"['69275.20000000', '0.00144000']","['69346.60000000', '0.00030000']"
45167483273,"['69275.12000000', '0.00100000']","['69346.67000000', '0.00030000']"
45167483273,"['69274.87000000', '0.08661000']","['69346.74000000', '0.00030000']"
45167483273,"['69274.86000000', '0.14427000']","['69346.81000000', '0.00030000']"
45167483273,"['69274.75000000', '0.02129000']","['69346.88000000', '0.00030000']"
45167483273,"['69273.86000000', '0.04000000']","['69346.95000000', '0.00030000']"
45167483273,"['69273.81000000', '0.10157000']","['69346.96000000', '0.02869000']"
45167483273,"['69273.10000000', '0.00323000']","['69347.02000000', '0.00038000']"
45167483273,"['69272.66000000', '0.00008000']","['69347.07000000', '0.00961000']"
45167483273,"['69271.43000000', '0.25430000']","['69347.09000000', '0.00030000']"
45167483273,"['69271.42000000', '0.10180000']","['69347.16000000', '0.00030000']"
45167483273,"['69270.96000000', '0.23458000']","['69347.20000000', '0.11547000']"
45167483273,"['69270.72000000', '0.42378000']","['69347.23000000', '0.00030000']"
45167483273,"['69270.61000000', '0.00559000']","['69347.30000000', '0.00030000']"
45167483273,"['69270.60000000', '0.00260000']","['69347.37000000', '0.00030000']"
45167483273,"['69270.39000000', '0.46546000']","['69347.44000000', '0.00030000']"
45167483273,"['69270.00000000', '0.09231000']","['69347.50000000', '0.01900000']"
45167483273,"['69269.86000000', '0.00580000']","['69347.51000000', '0.00030000']"
45167483273,"['69269.20000000', '0.00042000']","['69347.58000000', '0.00030000']"
45167483273,"['69268.49000000', '0.00356000']","['69347.65000000', '0.00030000']"
45167483273,"['69268.46000000', '0.00100000']","['69347.72000000', '0.00030000']"
45167483273,"['69267.65000000', '0.25530000']","['69347.79000000', '0.00030000']"
45167483273,"['69267.14000000', '0.00245000']","['69347.86000000', '0.00030000']"
45167483273,"['69267.13000000', '0.06052000']","['69347.93000000', '0.00030000']"
45167483273,"['69266.20000000', '0.00016000']","['69347.98000000', '0.02825000']"
45167483273,"['69265.95000000', '0.17353000']","['69348.00000000', '0.00030000']"
45167483273,"['69265.76000000', '0.02800000']","['69348.02000000', '0.00030000']"
45167483273,"['69265.74000000', '0.28913000']","['69348.07000000', '0.01187000']"
45167483273,"['69265.32000000', '0.00105000']","['69348.14000000', '0.00030000']"
45167483273,"['69265.08000000', '0.00015000']","['69348.21000000', '0.00030000']"
45167483273,"['69264.56000000', '0.01600000']","['69348.28000000', '0.00030000']"
45167483273,"['69264.35000000', '0.01225000']","['69348.31000000', '0.00009000']"
45167483273,"['69264.03000000', '0.00035000']","['69348.35000000', '0.00030000']"
45167483273,"['69263.63000000', '0.10180000']","['69348.42000000', '0.00030000']"
45167483273,"['69263.00000000', '0.00188000']","['69348.49000000', '0.00030000']"
45167483273,"['69262.97000000', '0.17070000']","['69348.56000000', '0.00030000']"
45167483273,"['69262.96000000', '0.02825000']","['69348.63000000', '0.00030000']"
45167483273,"['69262.71000000', '0.01800000']","['69348.70000000', '0.00030000']"
45167483273,"['69262.28000000', '0.00019000']","['69348.77000000', '0.00030000']"
45167483273,"['69261.91000000', '0.28436000']","['69348.78000000', '0.00008000']"
45167483273,"['69261.65000000', '0.00121000']","['69348.84000000', '0.28886000']"
45167483273,"['69261.06000000', '0.21658000']","['69348.91000000', '0.00030000']"
